repo_name,commit_date_range,date_difference
esr/reposurgeon,2020-04-17 ~ 2020-01-31,77
apparmor/apparmor,2020-04-20 ~ 2019-04-22,364
doctormo/python-crontab,2020-03-23 ~ 2009-07-06,3913
inkscape/inkscape,2020-04-20 ~ 2020-02-13,67
arm-hpc/packages,2018-10-31 ~ 2017-07-10,478
pgjones/quart,2020-04-14 ~ 2018-10-25,537
pycqa/flake8,2020-04-15 ~ 2018-12-28,474
ase/ase,2020-04-20 ~ 2020-03-19,32
alelec/python-certifi-win32,2018-03-19 ~ 2015-03-30,1085
cryptsetup/cryptsetup,2020-04-17 ~ 2019-07-12,280
pdftk-java/pdftk,2020-04-18 ~ 2017-12-30,840
nfriend/docker-java-node-git,2020-04-20 ~ 2019-11-23,149
libvirt/libvirt-java,2020-04-07 ~ 2008-06-24,4305
fdroid/fdroidclient,2020-03-20 ~ 2019-05-20,305
terrakok/gitlab-client,2020-04-17 ~ 2019-05-16,337
fluidattacks/asserts,2020-04-17 ~ 2019-11-18,151
ehealth-connector/demo-java,2020-03-31 ~ 2017-04-06,1090
fdroid/fdroidserver,2020-04-18 ~ 2019-05-27,327
AuroraOSS/auroradroid,2020-04-14 ~ 2019-05-23,327
amrodrigues/java-bitstamp-api-client,2019-06-03 ~ 2019-06-02,1
jobol/mustach,2020-04-06 ~ 2016-10-13,1271
gnutls/gnutls,2020-04-20 ~ 2019-12-18,124
cristiano.fontana/polyglot_fit,2020-04-19 ~ 2019-12-16,125
tortoisegit/tortoisegit,2020-04-18 ~ 2019-10-22,179
LinxGem33/X-Arc-White,2018-06-08 ~ 2017-01-11,513
gnachman/iterm2,2020-04-20 ~ 2020-01-26,85
gpaw/gpaw,2020-04-20 ~ 2019-12-05,137
osm-c-tools/osmctools,2018-05-30 ~ 2011-09-05,2459
tjian-darzacq-lab/simSPT,2019-07-19 ~ 2017-06-21,758
yo/react-humanize-number,2020-03-02 ~ 2020-02-20,11
staltz/react-native-has-internet,2019-12-30 ~ 2018-08-15,502
yo/react-humanize-string,2020-03-02 ~ 2020-02-23,8
viclotana/react-lazy-load,2019-01-27 ~ 2019-01-27,0
unc-app-lab/react-native-tutorial-tic-tac-toe,2020-01-30 ~ 2020-01-30,0
Rich-Harris/buble,2017-11-03 ~ 2016-05-15,537
Flockademic/Flockademic,2019-01-28 ~ 2018-08-20,161
pgjones/quart-cors,2020-02-20 ~ 2018-05-05,656
ska-telescope/ska-react-webapp-skeleton,2019-10-30 ~ 2018-12-24,310
the-gigi/react-graphql-github,2018-06-07 ~ 2018-05-12,26
meno/angular-issue,2018-07-06 ~ 2018-07-06,0
antora/antora,2020-04-20 ~ 2020-03-09,42
nfriend/angularjs-in-angular-bug-repro,2018-04-03 ~ 2018-04-03,0
fhightower-templates/threatconnect-angular-spaces-template,2018-10-02 ~ 2018-04-09,176
Dmytro.Khirnyi/angular-starter,2017-07-23 ~ 2017-07-23,0
tomasjmonteiro/angular-utils,2019-04-14 ~ 2019-03-23,22
caiobarbosa089/Angular-NgRx-GettingStarted,2018-07-24 ~ 2018-03-22,124
sagar_13/mxgraph-angular-7,2019-03-13 ~ 2019-03-12,1
tobias47n9e/angular-fluent,2020-01-11 ~ 2019-09-23,110
thanhbinh710/wwc-angular-workshop,2019-02-20 ~ 2019-02-19,1
gableroux/unity3d,2020-04-17 ~ 2019-09-16,214
intangiblerealities/narupa-unity-plugin,2020-04-20 ~ 2019-10-16,187
nobodysu/spyware-hosts,2020-04-09 ~ 2019-04-14,361
ita1024/waf,2020-04-14 ~ 2018-05-09,706
postmarketOS/pmaports,2020-04-20 ~ 2020-02-20,60
gableroux/unity3d-gitlab-ci-example,2020-04-08 ~ 2017-08-04,978
CLARIN-ERIC/docker-unity-idm,2018-09-13 ~ 2016-03-04,923
unity-linux/unity-docker-x86_64,2020-01-09 ~ 2019-05-07,247
leipert-projects/gettext-extractor-vue,2020-02-02 ~ 2018-06-03,609
meltano/meltano,2020-04-20 ~ 2020-03-09,42
arnedesmedt/vue-ads-table-tree,2018-12-07 ~ 2018-07-27,133
jbesw/askjames-pollcounter-vue,2019-03-21 ~ 2019-03-21,0
alefesouza/laravel-vue-boilerplate,2018-10-14 ~ 2017-12-27,291
briancaffey/docker-nginx-django-vue-architecture,2018-10-24 ~ 2018-10-11,13
riovir/slush-vue-webpack,2019-03-13 ~ 2016-11-10,853
html-validate/html-validate-vue,2020-04-20 ~ 2019-10-08,195
foodsharing-dev/foodsharing,2020-04-20 ~ 2020-03-04,47
montag/vue-cli-plugin-gitlab-pages,2019-03-12 ~ 2019-03-10,2
remote-apis-testing/remote-apis-testing,2020-03-02 ~ 2019-05-27,280
Mactroll/NoMAD,2019-10-08 ~ 2017-07-10,820
commento/commento,2020-04-11 ~ 2018-08-13,607
ArmarX/ArmarXCore,2020-04-11 ~ 2019-05-07,340
obsidian.systems/tezos-load-testing,2018-05-02 ~ 2018-04-27,5
react-tutorial-projects/my-burger,2017-12-29 ~ 2017-12-14,15
goalsystemsfyd/antora,2019-03-13 ~ 2018-08-28,197
com-informatimago/com-informatimago,2020-03-01 ~ 2015-10-22,1592
fetchmail/fetchmail,2020-04-05 ~ 2016-01-30,1527
storedmirrors/git,2020-04-19 ~ 2020-02-22,57
librespacefoundation/soc-org,2019-02-05 ~ 2019-02-05,0
luke-anto-machine-learning/iris,2016-09-10 ~ 2016-09-08,2
kevinnguyeneng/Stanford-Machine-Learning-Course,2017-03-30 ~ 2017-03-30,0
xiongtyl/Machine-Learning-Study-Path-March-2019,2019-03-21 ~ 2019-03-12,9
shankarpandala/Hands-On-Machine-Learning-for-Algorithmic-Trading,2019-01-08 ~ 2018-05-09,244
Wahal/Neural-Networks,2017-12-18 ~ 2017-09-06,103
aln-machine-learning/aln-machine-learning,2016-01-27 ~ 2010-01-08,2210
magnus250/machine-learning,2019-09-16 ~ 2019-08-11,36
lumeng/univ-washington-machine-learning-python-virtualenv,2017-12-03 ~ 2016-03-22,621
minds/front,2020-04-20 ~ 2020-03-04,47
Wrexthor/Powershell-Blockchain,2017-12-13 ~ 2017-12-13,0
robmyers/blockchain-aesthetics,2020-02-25 ~ 2014-11-12,1931
blockvalley/ethereum-blockchain-explorer,2019-06-25 ~ 2018-09-27,271
lechten/talks-2018,2019-09-24 ~ 2018-04-22,520
EthereumD/blockchain-sql,2016-12-08 ~ 2016-12-08,0
gelvazio_camargo/global-financing-blockchain,2019-10-09 ~ 2018-12-07,306
capblockchain/Blockchain,2017-09-12 ~ 2017-01-30,225
SGamot/BlockChain,2018-07-20 ~ 2018-07-20,0
albina-euregio/albina-website,2020-04-14 ~ 2019-12-16,120
pimogames/hello-covid,2020-04-10 ~ 2020-03-29,12
Remmina/Remmina,2020-04-20 ~ 2020-02-17,63
krakorj/apify-covid-serbia,2020-03-24 ~ 2020-03-22,2
jamietanna/jvt.me,2020-04-20 ~ 2020-04-11,9
addianto/icas-pgs-mobile,2017-10-30 ~ 2017-07-25,97
flectra-hq/flectra,2020-03-23 ~ 2018-08-08,593
eneiluj/cospend-nc,2020-04-16 ~ 2020-01-01,106
tildes/tildes,2020-04-14 ~ 2019-07-31,258
atelier-cartographique/wood-site,2020-03-27 ~ 2019-01-23,429
ChESch/mobile-app,2016-08-29 ~ 2014-09-22,707
minds/minds,2020-04-17 ~ 2016-05-25,1423
h2o-home-security/mobile-app,2019-06-06 ~ 2019-06-06,0
5irc-project/mobile-app,2019-01-24 ~ 2018-12-19,36
koroed/community-mobile-app,2017-11-13 ~ 2017-11-03,10
cpbaumann/jquery-plugin-responsive-pagination-for-bootstrap-4,2019-12-04 ~ 2018-09-11,449
neenjaw/fcc-responsive-web-project-01,2018-07-03 ~ 2018-07-03,0
deliberatespeed/Responsive-Web-Design,2018-04-04 ~ 2018-01-30,64
salihhdemirr/adding-responsive-features-cb-gh-000,2018-04-12 ~ 2014-11-01,1258
satijasagar14/news-responsive-sagar,2019-03-09 ~ 2019-03-08,1
m0stafa72/sass-responsive,2019-10-06 ~ 2019-10-06,0
KaesDingeling/Hybrid-Menu,2020-04-13 ~ 2017-06-22,1026
kavikamal/responsive-design-assessment,2018-10-26 ~ 2018-10-25,1
mayan-edms/cabinets,2017-03-09 ~ 2017-01-25,43
exectek/librenms,2015-09-17 ~ 2015-08-25,23
tomasjuran/artificial-intelligence-unlu,2019-04-02 ~ 2019-03-30,3
juleste/workshop-of-artificial-intelligence,2019-03-28 ~ 2019-03-28,0
minymina/Chess-Artificial-Intelligence,2018-08-21 ~ 2016-11-30,629
tonarec/artificial-intelligence,2019-10-18 ~ 2019-09-26,22
ahmetozsari/artificial-intelligence,2019-02-20 ~ 2019-02-20,0
kulukami/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,2018-04-09 ~ 2017-10-02,189
atulmgupta/tic-tac-toe-with-artificial-intelligence,2016-03-08 ~ 2016-03-08,0
timofonic/bkkkk,2017-04-29 ~ 2016-08-08,264
shosca/Artificial-Intelligence-and-Machine-Learning,2013-01-24 ~ 2011-10-17,465
aabedraba/artificial-intelligence-subject,2018-05-25 ~ 2018-02-10,104
lukicdarkoo/computer-vision,2019-07-30 ~ 2019-03-08,144
saritekin/show-facebook-computer-vision-tags,2017-02-23 ~ 2016-12-30,55
keynekassapa13/computer-vision-ex,2018-12-03 ~ 2018-12-03,0
luispazosouton/computer-vision,2019-05-29 ~ 2019-05-29,0
coursverse/ncv,2019-11-25 ~ 2019-04-24,215
vanhuyendo/Computer-vision-Stanford-course,2018-10-02 ~ 2018-07-03,91
tum-vision/lie-spline-experiments,2020-02-01 ~ 2019-11-15,78
xuwei1119/Hands-On-Computer-Vision-with-TensorFlow-2,2019-11-01 ~ 2018-10-01,396
computer-vision/maptk,2015-08-14 ~ 2015-04-20,116
computer-vision/MasteringOpenCV_code,2013-03-06 ~ 2012-12-08,88
shacktac-public/general,2016-09-09 ~ 2016-08-30,10
stellaris/game,2020-03-17 ~ 2018-06-28,628
crespum/oscw18-edge-ai,2018-09-20 ~ 2018-07-11,71
vgg/vgg_bibtex,2020-04-10 ~ 2019-07-10,275
Floydimus/PM,2020-03-28 ~ 2019-09-15,195
timofonic/random-books-list,2018-05-16 ~ 2016-12-30,502
libvirt/libvirt,2020-04-20 ~ 2020-03-24,27
minds/docs,2020-04-15 ~ 2019-07-04,286
langurmonkey/gaiasky,2020-04-16 ~ 2019-10-17,182
SaberMod/pa-android-frameworks-base,2015-08-11 ~ 2015-04-07,126
materials-modeling/icet,2020-04-15 ~ 2019-05-15,336
EladLeev/www-gitlab-com,2020-01-25 ~ 2020-01-23,2
jamieoglindsey0/jquery-documentsize,2017-02-04 ~ 2015-02-09,726
trinitycore/TrinityCore_434,2019-10-06 ~ 2019-06-07,121
iembry/iemisctext,2019-01-08 ~ 2016-08-07,884
jtrygva/trollegle,2019-12-13 ~ 2016-08-05,1225
kentsay/opengrok,2018-01-22 ~ 2017-11-07,76
glescki/deep-learning,2018-03-06 ~ 2017-10-27,130
Wahal/deep-learning,2019-09-14 ~ 2018-01-25,597
monochromata-de/de.monochromata.eyetracking,2020-04-04 ~ 2017-07-20,989
hashware/deep-learning-with-python-notebooks,2017-11-19 ~ 2017-09-05,75
yencarnacion/deep-learning-with-python-notebooks,2017-11-19 ~ 2017-09-05,75
kovean1994/Deep-Learning-Papers-Reading-Roadmap,2017-04-17 ~ 2016-10-14,185
rado97/final-year-project,2019-05-01 ~ 2019-02-05,85
goern/deep-learning-language-identification-using-keras-tensorflow,2017-10-27 ~ 2017-10-27,0
dvanderleij/cs4180---deep-learning-project,2019-05-20 ~ 2019-03-26,55
CCATIK/Deep-Learning-Lab_Team-6,2018-06-11 ~ 2018-04-16,56
postgres-ai/database-lab,2020-04-14 ~ 2019-10-23,174
leoisl/dbgwas,2019-10-02 ~ 2017-11-09,692
tikiwiki/tikiwiki-ci-databases,2020-02-27 ~ 2018-03-11,718
tum-msv/hynet-databases,2019-08-19 ~ 2018-10-19,304
rki_bioinformatics/database-updater,2018-03-07 ~ 2018-03-07,0
ChrisLangley/docker-postgresql-multiple-databases,2017-10-27 ~ 2017-07-30,89
goodvibes/goodvibes,2020-04-19 ~ 2018-10-28,539
barrel-db/barrel,2019-07-05 ~ 2017-03-24,833
hsbxl/site,2020-04-19 ~ 2019-02-02,442
CySiVuSConsortium/cyber-security-reference-architecture,2020-01-14 ~ 2019-05-28,231
Gerkis/it-sec-catalog,2020-03-27 ~ 2016-04-09,1448
nalin1997/_docs,2017-02-09 ~ 2016-08-11,182
jpsuldo1/awesome-incident-response,2017-06-28 ~ 2015-11-11,595
openconnect/openconnect,2020-04-16 ~ 2019-01-16,456
MangaD/sirs-project,2018-12-20 ~ 2018-12-01,19
iotlink/iotlink,2020-04-12 ~ 2019-06-02,315
meltano/specifications,2018-12-19 ~ 2016-10-31,779
veloren/game,2019-04-11 ~ 2018-08-15,239
Codeaurora/platform_vendor_qcom-opensource_wlan_qcacld-2.0,2016-11-02 ~ 2016-08-05,89
gitlab-data/analytics,2020-04-20 ~ 2020-04-06,14
EladLeev/omnibus-gitlab,2018-12-11 ~ 2018-10-22,50
go-concurrency-patterns/go-event-emitter,2019-07-09 ~ 2019-06-26,13
yorickpeterse/load-testing,2017-05-30 ~ 2017-03-08,83
Codeaurora/platform_hardware_qcom_camera,2015-11-07 ~ 2015-04-30,191
